# Oscilloscope file ./4K-res-20uA-U.bin
# Channel 2
Time / s;Voltage / V
355.5;0.04
355.75;0.044
356;0.046
356.25;0.038
356.5;0.042
356.75;0.042
357;0.046
357.25;0.038
357.5;0.044
357.75;0.042
358;0.046
358.25;0.036
358.5;0.042
358.75;0.042
359;0.046
359.25;0.038
359.5;0.042
359.75;0.04
360;0.046
360.25;0.038
360.5;0.04
360.75;0.042
361;0.044
361.25;0.038
361.5;0.042
361.75;0.044
362;0.044
362.25;0.036
362.5;0.042
362.75;0.042
363;0.046
363.25;0.036
363.5;0.04
363.75;0.042
364;0.044
364.25;0.036
364.5;0.04
364.75;0.04
365;0.044
365.25;0.034
365.5;0.038
365.75;0.038
366;0.044
366.25;0.034
366.5;0.04
366.75;0.038
367;0.044
367.25;0.036
367.5;0.04
367.75;0.04
368;0.044
368.25;0.034
368.5;0.038
368.75;0.04
369;0.042
369.25;0.032
369.5;0.036
369.75;0.038
370;0.042
370.25;0.034
370.5;0.04
370.75;0.038
371;0.042
371.25;0.034
371.5;0.038
371.75;0.038
372;0.042
372.25;0.034
372.5;0.038
372.75;0.04
373;0.042
373.25;0.032
373.5;0.038
373.75;0.038
374;0.042
374.25;0.032
374.5;0.038
374.75;0.038
375;0.042
375.25;0.032
375.5;0.036
375.75;0.036
376;0.042
376.25;0.032
376.5;0.036
376.75;0.034
377;0.04
377.25;0.032
377.5;0.036
377.75;0.034
378;0.04
378.25;0.032
378.5;0.038
378.75;0.034
379;0.04
379.25;0.03
379.5;0.034
379.75;0.032
380;0.04
380.25;0.03
380.5;0.034
380.75;0.034
381;0.04
381.25;0.03
381.5;0.032
381.75;0.034
382;0.038
382.25;0.03
382.5;0.032
382.75;0.034
383;0.038
383.25;0.03
383.5;0.034
383.75;0.034
384;0.038
384.25;0.028
384.5;0.032
384.75;0.032
385;0.038
385.25;0.03
385.5;0.034
385.75;0.034
386;0.038
386.25;0.028
386.5;0.032
386.75;0.032
387;0.038
387.25;0.028
387.5;0.034
387.75;0.032
388;0.038
388.25;0.028
388.5;0.032
388.75;0.032
389;0.036
389.25;0.028
389.5;0.032
389.75;0.034
390;0.036
390.25;0.026
390.5;0.03
390.75;0.03
391;0.036
391.25;0.026
391.5;0.032
391.75;0.03
392;0.036
392.25;0.026
392.5;0.028
392.75;0.03
393;0.036
393.25;0.024
393.5;0.03
393.75;0.03
394;0.034
394.25;0.024
394.5;0.03
394.75;0.03
395;0.034
395.25;0.026
395.5;0.028
395.75;0.028
396;0.034
396.25;0.024
396.5;0.028
396.75;0.028
397;0.034
397.25;0.022
397.5;0.026
397.75;0.028
398;0.034
398.25;0.024
398.5;0.03
398.75;0.028
399;0.034
399.25;0.024
399.5;0.028
399.75;0.028
400;0.032
400.25;0.022
400.5;0.024
400.75;0.028
401;0.032
401.25;0.022
401.5;0.028
401.75;0.024
402;0.032
402.25;0.022
402.5;0.026
402.75;0.026
403;0.03
403.25;0.022
403.5;0.026
403.75;0.026
404;0.032
404.25;0.02
404.5;0.028
404.75;0.026
405;0.03
405.25;0.02
405.5;0.026
405.75;0.026
406;0.03
406.25;0.018
406.5;0.024
406.75;0.022
407;0.028
407.25;0.02
407.5;0.024
407.75;0.02
408;0.028
408.25;0.02
408.5;0.024
408.75;0.022
409;0.026
409.25;0.018
409.5;0.024
409.75;0.024
410;0.028
410.25;0.016
410.5;0.024
410.75;0.022
411;0.026
411.25;0.018
411.5;0.022
411.75;0.02
412;0.026
412.25;0.016
412.5;0.022
412.75;0.02
413;0.026
413.25;0.016
413.5;0.02
413.75;0.02
414;0.026
414.25;0.016
414.5;0.02
414.75;0.018
415;0.024
415.25;0.014
415.5;0.018
415.75;0.018
416;0.022
416.25;0.014
416.5;0.018
416.75;0.018
417;0.022
417.25;0.012
417.5;0.018
417.75;0.018
418;0.022
418.25;0.012
418.5;0.016
418.75;0.016
419;0.022
419.25;0.012
419.5;0.016
419.75;0.016
420;0.02
420.25;0.01
420.5;0.014
420.75;0.016
421;0.02
421.25;0.01
421.5;0.016
421.75;0.016
422;0.02
422.25;0.01
422.5;0.014
422.75;0.014
423;0.02
423.25;0.01
423.5;0.014
423.75;0.012
424;0.02
424.25;0.01
424.5;0.014
424.75;0.014
425;0.018
425.25;0.006
425.5;0.012
425.75;0.014
426;0.02
426.25;0.008
426.5;0.012
426.75;0.014
427;0.018
427.25;0.006
427.5;0.014
427.75;0.012
428;0.018
428.25;0.006
428.5;0.01
428.75;0.012
429;0.016
429.25;0.006
429.5;0.008
429.75;0.012
430;0.018
430.25;0.006
430.5;0.012
430.75;0.01
431;0.014
431.25;0.006
431.5;0.01
431.75;0.012
432;0.016
432.25;0.004
432.5;0.01
432.75;0.01
433;0.014
433.25;0.004
433.5;0.01
433.75;0.01
434;0.014
434.25;0.004
434.5;0.012
434.75;0.01
435;0.014
435.25;0.004
435.5;0.008
435.75;0.008
436;0.014
436.25;0.004
436.5;0.008
436.75;0.01
437;0.014
437.25;0.002
437.5;0.006
437.75;0.008
438;0.014
438.25;0.002
438.5;0.006
438.75;0.006
439;0.012
439.25;0.002
439.5;0.006
439.75;0.01
440;0.012
440.25;0.002
440.5;0.006
440.75;0.006
441;0.012
441.25;0.002
441.5;0.006
441.75;0.008
442;0.012
442.25;0.002
442.5;0.004
442.75;0.006
443;0.012
443.25;0.002
443.5;0.008
443.75;0.008
444;0.012
444.25;0.002
444.5;0.008
444.75;0.006
445;0.012
445.25;0
445.5;0.006
445.75;0.008
446;0.012
446.25;0.002
446.5;0.004
446.75;0.006
447;0.012
447.25;0
447.5;0.006
447.75;0.002
448;0.012
448.25;0
448.5;0.004
448.75;0.004
449;0.012
449.25;0
449.5;0.006
449.75;0.006
450;0.012
450.25;0
450.5;0.006
450.75;0.008
451;0.012
451.25;0
451.5;0.006
451.75;0.006
452;0.012
452.25;0
452.5;0.006
452.75;0.006
453;0.012
453.25;0
453.5;0.008
453.75;0.004
454;0.012
454.25;0
454.5;0.004
454.75;0.004
455;0.012
455.25;0
455.5;0.006
455.75;0.008
456;0.012
456.25;0
456.5;0.006
456.75;0.006
457;0.012
457.25;0
457.5;0.004
457.75;0.004
458;0.012
458.25;0
458.5;0.008
458.75;0.006
459;0.012
459.25;0.002
459.5;0.006
459.75;0.006
460;0.012
460.25;0
460.5;0.008
460.75;0.006
461;0.012
461.25;0
461.5;0.008
461.75;0.006
